Donnerstag, 12.Juli 2018	99.8		20180712
Freitag, 13.Juli 2018	99.1		20180713
Samstag, 14.Juli 2018	98.6		20180714
Sonntag, 15.Juli 2018	98.6		20180715
Montag, 16.Juli 2018	99.1		20180716
Dienstag, 17.Juli 2018	99.8		20180717
Mittwoch, 18.Juli 2018	100.3		20180718
Donnerstag, 19.Juli 2018	100.9		20180719
Freitag, 20.Juli 2018	100.9		20180720
Samstag, 21.Juli 2018	100.2		20180721
Sonntag, 22.Juli 2018	99.3		20180722
Montag, 23.Juli 2018	99.3		20180723
Dienstag, 24.Juli 2018	99.8		20180724
Mittwoch, 25.Juli 2018	98.9		20180725
Donnerstag, 26.Juli 2018	99.8		20180726
Freitag, 27.Juli 2018	99.3		20180727
Samstag, 28.Juli 2018	99.2		20180728
Sonntag, 29.Juli 2018	98.2		20180729
Montag, 30.Juli 2018	98.4		20180730
Dienstag, 31.Juli 2018	99.2		20180731
Mittwoch, 01.August 2018	98.8		20180801
Donnerstag, 02.August 2018	99.0		20180802
Freitag, 03.August 2018	98.4		20180803
Samstag, 04.August 2018	98.6		20180804
Sonntag, 05.August 2018	98.5		20180805
Montag, 06.August 2018	98.5		20180806
Dienstag, 07.August 2018	99.4		20180807
Mittwoch, 08.August 2018	98.9		20180808
Donnerstag, 09.August 2018	98.9		20180809
Freitag, 10.August 2018	99.2		20180810
Samstag, 11.August 2018	99.2		20180811
Sonntag, 12.August 2018	98.5		20180812
Montag, 13.August 2018	99.2		20180813
Dienstag, 14.August 2018	98.8		20180814
Mittwoch, 15.August 2018	100.1		20180815
Donnerstag, 16.August 2018	99.8		20180816
Freitag, 17.August 2018	99.4		20180817
Samstag, 18.August 2018	99.5		20180818
Sonntag, 19.August 2018	99.4		20180819
Montag, 20.August 2018	99.4		20180820
Dienstag, 21.August 2018	99.4		20180821
Mittwoch, 22.August 2018	99.4		20180822
Donnerstag, 23.August 2018	99.4		20180823
Freitag, 24.August 2018	99.4		20180824
Samstag, 25.August 2018	100.0		20180825
Sonntag, 26.August 2018	99.0		20180826
